Date,Open,High,Low,Close,Adj Close,Volume
2012-01-11,3175.000000,3175.000000,3150.000000,3175.000000,2962.514160,434500
2012-01-12,3225.000000,3250.000000,3175.000000,3225.000000,3009.167969,885500
2012-01-13,3250.000000,3250.000000,3200.000000,3250.000000,3032.494873,3
2012-01-16,3175.000000,3225.000000,3175.000000,3175.000000,2962.514160,229000
2012-01-17,3200.000000,3225.000000,3175.000000,3200.000000,2985.841064,474500
2012-01-18,3175.000000,3250.000000,3150.000000,3175.000000,2962.514160,688500
2012-01-19,3200.000000,3225.000000,3175.000000,3200.000000,2985.841064,971500
2012-01-20,3225.000000,3225.000000,3175.000000,3225.000000,3009.167969,381000
2012-01-24,3200.000000,3250.000000,3200.000000,3200.000000,2985.841064,132500
2012-01-25,3200.000000,3225.000000,3200.000000,3200.000000,2985.841064,1170000
2012-01-26,3200.000000,3200.000000,3175.000000,3200.000000,2985.841064,798000
2012-01-27,3375.000000,3375.000000,3200.000000,3375.000000,3149.129150,2432000
2012-01-30,3325.000000,3375.000000,3300.000000,3325.000000,3102.475586,558500
2012-01-31,3550.000000,3550.000000,3375.000000,3550.000000,3312.417236,1466000
2012-02-01,3550.000000,3650.000000,3550.000000,3550.000000,3312.417236,518000
2012-02-02,3550.000000,3550.000000,3450.000000,3550.000000,3312.417236,83000
2012-02-03,3450.000000,3550.000000,3450.000000,3450.000000,3219.109863,1058000
2012-02-06,3400.000000,3475.000000,3375.000000,3400.000000,3172.456055,126000
2012-02-07,3375.000000,3400.000000,3325.000000,3375.000000,3149.129150,22500
